title,duration,rating,year,url
Les quatre cents coups,99,8.1,1959,https://www.imdb.com//title/tt0053198/
Ben-Hur,212,8.1,1959,https://www.imdb.com//title/tt0052618/
Kakushi-toride no san-akunin,139,8.1,1958,https://www.imdb.com//title/tt0051808/
Smultronstället,91,8.1,1957,https://www.imdb.com//title/tt0050986/
Det sjunde inseglet,96,8.1,1957,https://www.imdb.com//title/tt0050976/
Le notti di Cabiria,110,8.1,1957,https://www.imdb.com//title/tt0050783/
Kumonosu-jô,110,8.1,1957,https://www.imdb.com//title/tt0050613/
Du rififi chez les hommes,118,8.1,1955,https://www.imdb.com//title/tt0048021/
On the Waterfront,108,8.1,1954,https://www.imdb.com//title/tt0047296/
Les diaboliques,117,8.1,1955,https://www.imdb.com//title/tt0046911/
Ace in the Hole,111,8.1,1951,https://www.imdb.com//title/tt0043338/
White Heat,114,8.1,1949,https://www.imdb.com//title/tt0042041/
The Third Man,104,8.1,1949,https://www.imdb.com//title/tt0041959/
The Red Shoes,135,8.1,1948,https://www.imdb.com//title/tt0040725/
The Best Years of Our Lives,170,8.1,1946,https://www.imdb.com//title/tt0036868/
The Shop Around the Corner,99,8.1,1940,https://www.imdb.com//title/tt0033045/
Rebecca,130,8.1,1940,https://www.imdb.com//title/tt0032976/
The Grapes of Wrath,129,8.1,1940,https://www.imdb.com//title/tt0032551/
The Wizard of Oz,102,8.1,1939,https://www.imdb.com//title/tt0032138/
Mr. Smith Goes to Washington,129,8.1,1939,https://www.imdb.com//title/tt0031679/
La Grande Illusion,113,8.1,1937,https://www.imdb.com//title/tt0028950/
It Happened One Night,105,8.1,1934,https://www.imdb.com//title/tt0025316/
All Quiet on the Western Front,152,8.1,1930,https://www.imdb.com//title/tt0020629/
The Circus,72,8.1,1928,https://www.imdb.com//title/tt0018773/
Sunrise: A Song of Two Humans,94,8.1,1927,https://www.imdb.com//title/tt0018455/
RRR (Rise Roar Revolt),187,8.0,2022,https://www.imdb.com//title/tt8178634/
Badhaai ho,124,8.0,2018,https://www.imdb.com//title/tt7725596/
WolfWalkers,103,8.0,2020,https://www.imdb.com//title/tt5198068/
Contratiempo,106,8.0,2016,https://www.imdb.com//title/tt4857264/
La La Land,128,8.0,2016,https://www.imdb.com//title/tt3783958/
Lion,118,8.0,2016,https://www.imdb.com//title/tt3741834/
The Martian,144,8.0,2015,https://www.imdb.com//title/tt3659388/
Mommy,139,8.0,I) (,https://www.imdb.com//title/tt3612616/
Soul,100,8.0,2020,https://www.imdb.com//title/tt2948372/
Zootopia,108,8.0,2016,https://www.imdb.com//title/tt2948356/
Kis Uykusu,196,8.0,2014,https://www.imdb.com//title/tt2758880/
Bãhubali: The Beginning,159,8.0,2015,https://www.imdb.com//title/tt2631186/
Kaguya-hime no monogatari,137,8.0,2013,https://www.imdb.com//title/tt2576852/
Special Chabbis,144,8.0,2013,https://www.imdb.com//title/tt2377938/
The Imitation Game,114,8.0,2014,https://www.imdb.com//title/tt2084970/
Guardians of the Galaxy,121,8.0,2014,https://www.imdb.com//title/tt2015381/
Song of the Sea,93,8.0,2014,https://www.imdb.com//title/tt1865505/
Blade Runner 2049,164,8.0,2017,https://www.imdb.com//title/tt1856101/
Her,126,8.0,2013,https://www.imdb.com//title/tt1798709/
The Revenant,156,8.0,2015,https://www.imdb.com//title/tt1663202/
The Perks of Being a Wallflower,103,8.0,2012,https://www.imdb.com//title/tt1659337/
Tropa de Elite 2: O Inimigo Agora é Outro,115,8.0,2010,https://www.imdb.com//title/tt1555149/
The King's Speech,118,8.0,2010,https://www.imdb.com//title/tt1504320/
Deadpool,108,8.0,2016,https://www.imdb.com//title/tt1431045/
Zack Snyder's Justice League,242,8.0,2021,https://www.imdb.com//title/tt12361974/
Ip Man,106,8.0,2008,https://www.imdb.com//title/tt1220719/
Dune: Part One,155,8.0,2021,https://www.imdb.com//title/tt1160419/
Okuribito,130,8.0,2008,https://www.imdb.com//title/tt1069238/
CODA,111,8.0,2021,https://www.imdb.com//title/tt10366460/
Slumdog Millionaire,120,8.0,2008,https://www.imdb.com//title/tt1010048/
Black Swan,108,8.0,2010,https://www.imdb.com//title/tt0947798/
Tropa de Elite,115,8.0,2007,https://www.imdb.com//title/tt0861739/
The Avengers,143,8.0,2012,https://www.imdb.com//title/tt0848228/
Persepolis,96,8.0,2007,https://www.imdb.com//title/tt0808417/
Lage Raho Munna Bhai,144,8.0,2006,https://www.imdb.com//title/tt0456144/
The Pursuit of Happyness,117,8.0,2006,https://www.imdb.com//title/tt0454921/
